mu,km,rm,kp,V_birth,kon,koff
0.008333333,0.020004881,0.138629436,0.938742979,0.27914204,1,0.25
0.013333333,0.041081779,0.138629436,0.938742979,0.351615683,1,0.25
0.018333333,0.072526011,0.138629436,0.938742979,0.442905655,1,0.25
0.023333333,0.118548515,0.138629436,0.938742979,0.557897242,1,0.25
0.028333333,0.184911278,0.138629436,0.938742979,0.702744091,1,0.25
0.033333333,0.279459339,0.138629436,0.938742979,0.885197526,1,0.25
0.038333333,0.412831718,0.138629436,0.938742979,1.115021342,1,0.25
0.043333333,0.599408115,0.138629436,0.938742979,1.40451431,1,0.25
0.048333333,0.858565925,0.138629436,0.938742979,1.769168332,1,0.25
0.053333333,1.216345926,0.138629436,0.938742979,2.228497471,1,0.25
0.058333333,1.707656037,0.138629436,0.938742979,2.807082225,1,0.25
