alpha_max,km_intercept,km_slope_size,km_slope_alpha,rm,kp,rp,V_birth,partitioning_type,regulation_hill,regulation_conc,num_lineages,sim_duration,update_period,num_updates_per_output,EM_birth
0.25,0,0.2,0,10,7.02926656487936,0.1,50,normal,2,1,2,3000,0.05,10,1
0.4,0,0.2,0,10,11.246826503807,0.1,50,normal,2,1,2,3000,0.05,10,1
0.55,0,0.2,0,10,15.4643864427346,0.1,50,normal,2,1,2,3000,0.05,10,1
0.7,0,0.2,0,10,19.6819463816622,0.1,50,normal,2,1,2,3000,0.05,10,1
0.85,0,0.2,0,10,23.8995063205898,0.1,50,normal,2,1,2,3000,0.05,10,1
1,0,0.2,0,10,28.1170662595175,0.1,50,normal,2,1,2,3000,0.05,10,1
1.15,0,0.2,0,10,32.3346261984451,0.1,50,normal,2,1,2,3000,0.05,10,1
1.3,0,0.2,0,10,36.5521861373727,0.1,50,normal,2,1,2,3000,0.05,10,1
1.45,0,0.2,0,10,40.7697460763003,0.1,50,normal,2,1,2,3000,0.05,10,1
1.6,0,0.2,0,10,44.9873060152279,0.1,50,normal,2,1,2,3000,0.05,10,1
1.75,0,0.2,0,10,49.2048659541555,0.1,50,normal,2,1,2,3000,0.05,10,1
