alpha_max,km_intercept,km_slope_size,km_slope_alpha,rm,kp,rp,V_birth,partitioning_type,regulation_hill,regulation_conc,num_lineages,sim_duration,update_period,num_updates_per_output,EM_birth
0.25,0,0.05,0,10,28.1170662595175,0.1,50,normal,2,1,2,3000,0.05,10,1
0.4,0,0.08,0,10,28.1170662595175,0.1,50,normal,2,1,2,3000,0.05,10,1
0.55,0,0.11,0,10,28.1170662595175,0.1,50,normal,2,1,2,3000,0.05,10,1
0.7,0,0.14,0,10,28.1170662595175,0.1,50,normal,2,1,2,3000,0.05,10,1
0.85,0,0.17,0,10,28.1170662595175,0.1,50,normal,2,1,2,3000,0.05,10,1
1,0,0.2,0,10,28.1170662595175,0.1,50,normal,2,1,2,3000,0.05,10,1
1.15,0,0.23,0,10,28.1170662595175,0.1,50,normal,2,1,2,3000,0.05,10,1
1.3,0,0.26,0,10,28.1170662595175,0.1,50,normal,2,1,2,3000,0.05,10,1
1.45,0,0.29,0,10,28.1170662595175,0.1,50,normal,2,1,2,3000,0.05,10,1
1.6,0,0.32,0,10,28.1170662595175,0.1,50,normal,2,1,2,3000,0.05,10,1
1.75,0,0.35,0,10,28.1170662595175,0.1,50,normal,2,1,2,3000,0.05,10,1
