alpha_max,km_intercept,km_slope_size,km_slope_alpha,rm,kp,rp,V_birth,partitioning_type,regulation_hill,regulation_conc,num_lineages,sim_duration,update_period,num_updates_per_output,EM_birth
1,0,0.2,0,10,28.1170662595175,0.0158489319246111,10,normal,2,1,2,500,0.05,10,0.2
1,0,0.04,0,10,140.585331297587,0.0158489319246111,50,normal,2,1,2,500,0.05,10,0.2
1,0,0.02,0,10,281.170662595175,0.0158489319246111,100,normal,2,1,2,500,0.05,10,0.2
1,0,1,0,10,5.62341325190349,0.0158489319246111,10,normal,2,1,2,500,0.05,10,1
1,0,0.2,0,10,28.1170662595175,0.0158489319246111,50,normal,2,1,2,500,0.05,10,1
1,0,0.1,0,10,56.2341325190349,0.0158489319246111,100,normal,2,1,2,500,0.05,10,1
1,0,5,0,10,1.1246826503807,0.0158489319246111,10,normal,2,1,2,500,0.05,10,5
1,0,1,0,10,5.62341325190349,0.0158489319246111,50,normal,2,1,2,500,0.05,10,5
1,0,0.5,0,10,11.246826503807,0.0158489319246111,100,normal,2,1,2,500,0.05,10,5
