alpha_max,km_intercept,km_slope_size,km_slope_alpha,rm,kp,rp,V_birth,partitioning_type,regulation_hill,regulation_conc,num_lineages,sim_duration,update_period,num_updates_per_output,EM_birth
1,0,0.2,0,10,14.0919146563223,0.1,10,normal,2,1,2,500,0.05,10,0.2
1,0,0.04,0,10,70.4595732816113,0.1,50,normal,2,1,2,500,0.05,10,0.2
1,0,0.02,0,10,140.919146563223,0.1,100,normal,2,1,2,500,0.05,10,0.2
1,0,1,0,10,2.81838293126445,0.1,10,normal,2,1,2,500,0.05,10,1
1,0,0.2,0,10,14.0919146563223,0.1,50,normal,2,1,2,500,0.05,10,1
1,0,0.1,0,10,28.1838293126445,0.1,100,normal,2,1,2,500,0.05,10,1
1,0,5,0,10,0.563676586252891,0.1,10,normal,2,1,2,500,0.05,10,5
1,0,1,0,10,2.81838293126445,0.1,50,normal,2,1,2,500,0.05,10,5
1,0,0.5,0,10,5.63676586252891,0.1,100,normal,2,1,2,500,0.05,10,5
