alpha_max,km_intercept,km_slope_size,km_slope_alpha,rm,kp,rp,V_birth,partitioning_type,regulation_hill,regulation_conc,num_lineages,sim_duration,update_period,num_updates_per_output,EM_birth
1,0,0.2,0,10,31.5478672240097,0.01,10,normal,2,1,2,500,0.05,10,0.2
1,0,0.04,0,10,157.739336120048,0.01,50,normal,2,1,2,500,0.05,10,0.2
1,0,0.02,0,10,315.478672240097,0.01,100,normal,2,1,2,500,0.05,10,0.2
1,0,1,0,10,6.30957344480193,0.01,10,normal,2,1,2,500,0.05,10,1
1,0,0.2,0,10,31.5478672240097,0.01,50,normal,2,1,2,500,0.05,10,1
1,0,0.1,0,10,63.0957344480193,0.01,100,normal,2,1,2,500,0.05,10,1
1,0,5,0,10,1.26191468896039,0.01,10,normal,2,1,2,500,0.05,10,5
1,0,1,0,10,6.30957344480193,0.01,50,normal,2,1,2,500,0.05,10,5
1,0,0.5,0,10,12.6191468896039,0.01,100,normal,2,1,2,500,0.05,10,5
