alpha_max,km_intercept,km_slope_size,km_slope_alpha,rm,kp,rp,V_birth,partitioning_type,regulation_hill,regulation_conc,num_lineages,sim_duration,update_period,num_updates_per_output,EM_birth
1,0,0.2,0,10,19.9053585276749,0.01,10,normal,2,1,2,500,0.05,10,0.2
1,0,0.04,0,10,99.5267926383743,0.01,50,normal,2,1,2,500,0.05,10,0.2
1,0,0.02,0,10,199.053585276749,0.01,100,normal,2,1,2,500,0.05,10,0.2
1,0,1,0,10,3.98107170553497,0.01,10,normal,2,1,2,500,0.05,10,1
1,0,0.2,0,10,19.9053585276749,0.01,50,normal,2,1,2,500,0.05,10,1
1,0,0.1,0,10,39.8107170553497,0.01,100,normal,2,1,2,500,0.05,10,1
1,0,5,0,10,0.796214341106994,0.01,10,normal,2,1,2,500,0.05,10,5
1,0,1,0,10,3.98107170553497,0.01,50,normal,2,1,2,500,0.05,10,5
1,0,0.5,0,10,7.96214341106994,0.01,100,normal,2,1,2,500,0.05,10,5
