alpha_max,km_intercept,km_slope_size,km_slope_alpha,rm,kp,rp,V_birth,partitioning_type,regulation_hill,regulation_conc,num_lineages,sim_duration,update_period,num_updates_per_output,EM_birth
1,0,0.2,0,10,25.0593616813636,0.01,10,normal,2,1,2,500,0.05,10,0.2
1,0,0.04,0,10,125.296808406818,0.01,50,normal,2,1,2,500,0.05,10,0.2
1,0,0.02,0,10,250.593616813636,0.01,100,normal,2,1,2,500,0.05,10,0.2
1,0,1,0,10,5.01187233627272,0.01,10,normal,2,1,2,500,0.05,10,1
1,0,0.2,0,10,25.0593616813636,0.01,50,normal,2,1,2,500,0.05,10,1
1,0,0.1,0,10,50.1187233627272,0.01,100,normal,2,1,2,500,0.05,10,1
1,0,5,0,10,1.00237446725454,0.01,10,normal,2,1,2,500,0.05,10,5
1,0,1,0,10,5.01187233627272,0.01,50,normal,2,1,2,500,0.05,10,5
1,0,0.5,0,10,10.0237446725454,0.01,100,normal,2,1,2,500,0.05,10,5
